desc,code,ref,created_by,created_date
N/A,0,No Information,1,2021-05-04 00:00:00
,1,No Income,1,2021-05-04 00:00:00
,2,< RM 500,1,2021-05-04 00:00:00
,3,RM 500 - RM 1000,1,2021-05-04 00:00:00
,4,RM 1001 - RM 1500,1,2021-05-04 00:00:00
,5,RM 1501 - RM 3000,1,2021-05-04 00:00:00
,6,RM 3001 - RM 5000,1,2021-05-04 00:00:00
,7,RM 5001 - RM 10000,1,2021-05-04 00:00:00
,8,RM 10000 - RM 15000,1,2021-05-04 00:00:00
,9,> RM 15000,1,2021-05-04 00:00:00
