desc,code,ref,created_by,created_date
JAPANESE,JPN,Japan,1,2021-05-04 00:00:00
JORDANIAN,JOR,Jordan,1,2021-05-04 00:00:00
KAZAKH,KAZ,Kazakhstan,1,2021-05-04 00:00:00
KENYAN,KEN,Kenya,1,2021-05-04 00:00:00
I-KIRIBATI,KIR,Kiribati,1,2021-05-04 00:00:00
,PRK,"Korea, Democratic Peoples Republic Of",1,2021-05-04 00:00:00
KOREAN,KOR,"Korea, Republic Of",1,2021-05-04 00:00:00
KUWAITI,KWT,Kuwait,1,2021-05-04 00:00:00
,KGZ,Kyrgyzstan,1,2021-05-04 00:00:00
LAOTIAN,LAO,Lao Peoples Democratic Republic,1,2021-05-04 00:00:00
LATVIAN,LVA,Latvia,1,2021-05-04 00:00:00
LEBANESE,LBN,Lebanon,1,2021-05-04 00:00:00
,LSO,Lesotho,1,2021-05-04 00:00:00
,LBR,Liberia,1,2021-05-04 00:00:00
LIBYAN,LBY,Libyan Arab Jamahiriya,1,2021-05-04 00:00:00
,LIE,Liechtenstein,1,2021-05-04 00:00:00
,LTU,Lithuania,1,2021-05-04 00:00:00
,LUX,Luxembourg,1,2021-05-04 00:00:00
MACANESE,MAC,Macau,1,2021-05-04 00:00:00
MACEDONIAN,MKD,"Macedonia, The Former Yugoslav Republic Of",1,2021-05-04 00:00:00
MADAGASCAN,MDG,Madagascar,1,2021-05-04 00:00:00
MALAWIAN,MWI,Malawi,1,2021-05-04 00:00:00
MALAYSIAN,MYS,Malaysia,1,2021-05-04 00:00:00
MALDIVIAN,MDV,Maldives,1,2021-05-04 00:00:00
MALIAN,MLI,Mali,1,2021-05-04 00:00:00
,MLT,Malta,1,2021-05-04 00:00:00
,MHL,Marshall Islands,1,2021-05-04 00:00:00
,MTQ,Martinique,1,2021-05-04 00:00:00
,MRT,Mauritania,1,2021-05-04 00:00:00
MAURITIAN,MUS,Mauritius,1,2021-05-04 00:00:00
,MYT,Mayotte,1,2021-05-04 00:00:00
MEXICAN,MEX,Mexico,1,2021-05-04 00:00:00
,FSM,"Micronesia, Federated States Of",1,2021-05-04 00:00:00
,MDA,"Moldova, Republic Of",1,2021-05-04 00:00:00
,MCO,Monaco,1,2021-05-04 00:00:00
MONGOLIAN,MNG,Mongolia,1,2021-05-04 00:00:00
MONTSERRATIAN,MSR,Montserrat,1,2021-05-04 00:00:00
MOROCCAN,MAR,Morocco,1,2021-05-04 00:00:00
MOZAMBICAN,MOZ,Mozambique,1,2021-05-04 00:00:00
MYANMAR,MMR,Myanmar,1,2021-05-04 00:00:00
NAMIBIAN,NAM,Namibia,1,2021-05-04 00:00:00
,NRU,Nauru,1,2021-05-04 00:00:00
NEPALESE,NPL,Nepal,1,2021-05-04 00:00:00
DUTCH,NLD,Netherlands,1,2021-05-04 00:00:00
,ANT,Netherlands Antilles,1,2021-05-04 00:00:00
,NCL,New Caledonia,1,2021-05-04 00:00:00
NEW ZEALANDER,NZL,New Zealand,1,2021-05-04 00:00:00
,NIC,Nicaragua,1,2021-05-04 00:00:00
NIGERIEN,NER,Niger,1,2021-05-04 00:00:00
NIGERIAN,NGA,Nigeria,1,2021-05-04 00:00:00
,NIU,Niue,1,2021-05-04 00:00:00
,NFK,Norfolk Island,1,2021-05-04 00:00:00
,MNP,Northern Mariana Islands,1,2021-05-04 00:00:00
NORWEGIAN,NOR,Norway,1,2021-05-04 00:00:00
OMANI,OMN,Oman,1,2021-05-04 00:00:00
OTHERS,999,Others,1,2021-05-04 00:00:00
PAKISTANI,PAK,Pakistan,1,2021-05-04 00:00:00
,PLW,Palau,1,2021-05-04 00:00:00
PALESTINIAN,PLS,Palestinian Territory,1,2021-05-04 00:00:00
,PAN,Panama,1,2021-05-04 00:00:00
,PNG,Papua New Guinea,1,2021-05-04 00:00:00
PARAGUAYAN,PRY,Paraguay,1,2021-05-04 00:00:00
PERUVIAN,PER,Peru,1,2021-05-04 00:00:00
FILIPINO,PHL,Philippines,1,2021-05-04 00:00:00
,PCN,Pitcairn,1,2021-05-04 00:00:00
POLE,POL,Poland,1,2021-05-04 00:00:00
PORTUGUESE,PRT,Portugal,1,2021-05-04 00:00:00
,PRI,Puerto Rico,1,2021-05-04 00:00:00
QATARI,QAT,Qatar,1,2021-05-04 00:00:00
,REU,Reunion,1,2021-05-04 00:00:00
ROMANIAN,ROM,Romania,1,2021-05-04 00:00:00
RUSSIAN,RUS,Russian Federation,1,2021-05-04 00:00:00
,RWA,Rwanda,1,2021-05-04 00:00:00
,SHN,Saint Helena,1,2021-05-04 00:00:00
,KNA,Saint Kitts And Nevis,1,2021-05-04 00:00:00
,LCA,Saint Lucia,1,2021-05-04 00:00:00
,SPM,Saint Pierre And Miquelon,1,2021-05-04 00:00:00
,VCT,Saint Vincent And The Grenadines,1,2021-05-04 00:00:00
SAMOAN,WSM,Samoa,1,2021-05-04 00:00:00
,SMR,San Marino,1,2021-05-04 00:00:00
,STP,Sao Tome And Principe,1,2021-05-04 00:00:00
SAUDI,SAU,Saudi Arabia,1,2021-05-04 00:00:00
,SEN,Senegal,1,2021-05-04 00:00:00
SEYCHELLOIS,SYC,Seychelles,1,2021-05-04 00:00:00
,SLE,Sierra Leone,1,2021-05-04 00:00:00
SINGAPOREAN,SGP,Singapore,1,2021-05-04 00:00:00
SLOVAK,SVK,Slovakia,1,2021-05-04 00:00:00
,SVN,Slovenia,1,2021-05-04 00:00:00
,SLB,Solomon Islands,1,2021-05-04 00:00:00
SOMALI,SOM,Somalia,1,2021-05-04 00:00:00
SOUTH AFRICAN,ZAF,South Africa,1,2021-05-04 00:00:00
,SGS,South Georgia And The South Sandwich Islands,1,2021-05-04 00:00:00
SPANIARD,ESP,Spain,1,2021-05-04 00:00:00
SRI LANKAN,LKA,Sri Lanka,1,2021-05-04 00:00:00
SUDANESE,SDN,Sudan,1,2021-05-04 00:00:00
,SUR,Suriname,1,2021-05-04 00:00:00
,SJM,Svalbard And Jan Mayen,1,2021-05-04 00:00:00
,SWZ,Swaziland,1,2021-05-04 00:00:00
SWEDE,SWE,Sweden,1,2021-05-04 00:00:00
SWISS,CHE,Switzerland,1,2021-05-04 00:00:00
SYRIAN,SYR,Syrian Arab Republic,1,2021-05-04 00:00:00
TAIWANESE,TWN,"Taiwan, Province Of China",1,2021-05-04 00:00:00
TAJIK,TJK,Tajikistan,1,2021-05-04 00:00:00
,TZA,"Tanzania, United Republic Of",1,2021-05-04 00:00:00
,THA,Thailand,1,2021-05-04 00:00:00
,TGO,Togo,1,2021-05-04 00:00:00
,TKL,Tokelau,1,2021-05-04 00:00:00
,TON,Tonga,1,2021-05-04 00:00:00
,TTO,Trinidad And Tobago,1,2021-05-04 00:00:00
TUNISIAN,TUN,Tunisia,1,2021-05-04 00:00:00
TURK,TUR,Turkey,1,2021-05-04 00:00:00
TURKMEN,TKM,Turkmenistan,1,2021-05-04 00:00:00
,TCA,Turks And Caicos Islands,1,2021-05-04 00:00:00
,TUV,Tuvalu,1,2021-05-04 00:00:00
UGANDAN,UGA,Uganda,1,2021-05-04 00:00:00
UKRAINIAN,UKR,Ukraine,1,2021-05-04 00:00:00
EMIRATI,ARE,United Arab Emirates,1,2021-05-04 00:00:00
BRITON,GBR,United Kingdom,1,2021-05-04 00:00:00
US CITIZEN,USA,United States,1,2021-05-04 00:00:00
,UMI,United States Minor Outlying Islands,1,2021-05-04 00:00:00
URUGUAYAN,URY,Uruguay,1,2021-05-04 00:00:00
,UZB,Uzbekistan,1,2021-05-04 00:00:00
,VUT,Vanuatu,1,2021-05-04 00:00:00
VENEZUELAN,VEN,Venezuela,1,2021-05-04 00:00:00
VIETNAMESE,VNM,Vietnam,1,2021-05-04 00:00:00
,VGB,"Virgin Islands, British",1,2021-05-04 00:00:00
,VIR,"Virgin Islands, U.S",1,2021-05-04 00:00:00
,WLF,Wallis And Futuna,1,2021-05-04 00:00:00
,ESH,Western Sahara,1,2021-05-04 00:00:00
YEMENI,YEM,Yemen,1,2021-05-04 00:00:00
YUGOSLAV,YUG,Yugoslavia,1,2021-05-04 00:00:00
,ZMB,Zambia,1,2021-05-04 00:00:00
,ZWE,Zimbabwe,1,2021-05-04 00:00:00
TIMORESE,999,Others,1,2021-05-04 00:00:00
NETHERLANDER,NLD,Netherlands,1,2021-05-04 00:00:00
TSWANA,999,Others,1,2021-05-04 00:00:00
